Cars-Direction-1,Cars-Direction-2,Cars-Total,Date,Day-Of-Week,Hour
36,62,98,2019-01-01,2,1
109,112,221,2019-01-01,2,2
97,60,157,2019-01-01,2,3
60,44,104,2019-01-01,2,4
44,33,77,2019-01-01,2,5
46,43,89,2019-01-01,2,6
39,41,80,2019-01-01,2,7
26,35,61,2019-01-01,2,8
38,19,57,2019-01-01,2,9
47,53,100,2019-01-01,2,10
112,111,223,2019-01-01,2,11
194,180,374,2019-01-01,2,12
306,234,540,2019-01-01,2,13
274,272,546,2019-01-01,2,14
303,315,618,2019-01-01,2,15
249,285,534,2019-01-01,2,16
267,278,545,2019-01-01,2,17
204,236,440,2019-01-01,2,18
124,149,273,2019-01-01,2,19
101,103,204,2019-01-01,2,20
83,75,158,2019-01-01,2,21
31,44,75,2019-01-01,2,22
29,40,69,2019-01-01,2,23
14,16,30,2019-01-01,2,24
11,14,25,2019-01-02,3,1
4,5,9,2019-01-02,3,2
4,4,8,2019-01-02,3,3
11,8,19,2019-01-02,3,4
30,40,70,2019-01-02,3,5
137,76,213,2019-01-02,3,6
266,198,464,2019-01-02,3,7
394,252,646,2019-01-02,3,8
359,277,636,2019-01-02,3,9
454,340,794,2019-01-02,3,10
495,431,926,2019-01-02,3,11
540,492,1032,2019-01-02,3,12
514,493,1007,2019-01-02,3,13
464,485,949,2019-01-02,3,14
522,511,1033,2019-01-02,3,15
495,529,1024,2019-01-02,3,16
485,578,1063,2019-01-02,3,17
360,486,846,2019-01-02,3,18
275,323,598,2019-01-02,3,19
165,212,377,2019-01-02,3,20
128,151,279,2019-01-02,3,21
68,80,148,2019-01-02,3,22
57,73,130,2019-01-02,3,23
30,37,67,2019-01-02,3,24
19,16,35,2019-01-03,4,1
13,12,25,2019-01-03,4,2
7,15,22,2019-01-03,4,3
9,9,18,2019-01-03,4,4
36,31,67,2019-01-03,4,5
120,80,200,2019-01-03,4,6
255,174,429,2019-01-03,4,7
438,274,712,2019-01-03,4,8
359,253,612,2019-01-03,4,9
379,309,688,2019-01-03,4,10
442,378,820,2019-01-03,4,11
482,432,914,2019-01-03,4,12
453,517,970,2019-01-03,4,13
486,528,1014,2019-01-03,4,14
511,500,1011,2019-01-03,4,15
483,587,1070,2019-01-03,4,16
515,583,1098,2019-01-03,4,17
384,496,880,2019-01-03,4,18
280,394,674,2019-01-03,4,19
152,237,389,2019-01-03,4,20
130,132,262,2019-01-03,4,21
87,111,198,2019-01-03,4,22
49,65,114,2019-01-03,4,23
22,42,64,2019-01-03,4,24
18,24,42,2019-01-04,5,1
13,10,23,2019-01-04,5,2
4,10,14,2019-01-04,5,3
10,13,23,2019-01-04,5,4
42,33,75,2019-01-04,5,5
112,86,198,2019-01-04,5,6
273,177,450,2019-01-04,5,7
395,269,664,2019-01-04,5,8
336,271,607,2019-01-04,5,9
408,323,731,2019-01-04,5,10
420,401,821,2019-01-04,5,11
481,441,922,2019-01-04,5,12
494,475,969,2019-01-04,5,13
499,446,945,2019-01-04,5,14
466,511,977,2019-01-04,5,15
434,496,930,2019-01-04,5,16
422,467,889,2019-01-04,5,17
342,400,742,2019-01-04,5,18
299,333,632,2019-01-04,5,19
188,178,366,2019-01-04,5,20
133,151,284,2019-01-04,5,21
103,123,226,2019-01-04,5,22
59,100,159,2019-01-04,5,23
36,55,91,2019-01-04,5,24
23,39,62,2019-01-05,6,1
27,37,64,2019-01-05,6,2
19,23,42,2019-01-05,6,3
14,10,24,2019-01-05,6,4
17,15,32,2019-01-05,6,5
57,36,93,2019-01-05,6,6
63,42,105,2019-01-05,6,7
96,75,171,2019-01-05,6,8
178,126,304,2019-01-05,6,9
299,226,525,2019-01-05,6,10
429,367,796,2019-01-05,6,11
468,392,860,2019-01-05,6,12
428,400,828,2019-01-05,6,13
472,454,926,2019-01-05,6,14
395,435,830,2019-01-05,6,15
364,363,727,2019-01-05,6,16
345,379,724,2019-01-05,6,17
304,346,650,2019-01-05,6,18
240,271,511,2019-01-05,6,19
148,223,371,2019-01-05,6,20
128,150,278,2019-01-05,6,21
88,112,200,2019-01-05,6,22
65,79,144,2019-01-05,6,23
94,91,185,2019-01-05,6,24
33,34,67,2019-01-06,7,1
47,31,78,2019-01-06,7,2
20,25,45,2019-01-06,7,3
17,15,32,2019-01-06,7,4
17,14,31,2019-01-06,7,5
40,32,72,2019-01-06,7,6
33,31,64,2019-01-06,7,7
46,37,83,2019-01-06,7,8
96,52,148,2019-01-06,7,9
184,126,310,2019-01-06,7,10
265,219,484,2019-01-06,7,11
301,268,569,2019-01-06,7,12
376,307,683,2019-01-06,7,13
389,370,759,2019-01-06,7,14
383,403,786,2019-01-06,7,15
305,380,685,2019-01-06,7,16
282,379,661,2019-01-06,7,17
260,312,572,2019-01-06,7,18
165,203,368,2019-01-06,7,19
125,157,282,2019-01-06,7,20
86,98,184,2019-01-06,7,21
44,80,124,2019-01-06,7,22
51,51,102,2019-01-06,7,23
17,28,45,2019-01-06,7,24
9,18,27,2019-01-07,1,1
9,10,19,2019-01-07,1,2
3,7,10,2019-01-07,1,3
17,15,32,2019-01-07,1,4
37,28,65,2019-01-07,1,5
201,159,360,2019-01-07,1,6
489,408,897,2019-01-07,1,7
783,482,1265,2019-01-07,1,8
546,346,892,2019-01-07,1,9
478,380,858,2019-01-07,1,10
444,473,917,2019-01-07,1,11
483,505,988,2019-01-07,1,12
474,527,1001,2019-01-07,1,13
462,533,995,2019-01-07,1,14
507,488,995,2019-01-07,1,15
538,632,1170,2019-01-07,1,16
650,723,1373,2019-01-07,1,17
492,557,1049,2019-01-07,1,18
315,464,779,2019-01-07,1,19
221,262,483,2019-01-07,1,20
126,149,275,2019-01-07,1,21
133,125,258,2019-01-07,1,22
36,85,121,2019-01-07,1,23
22,29,51,2019-01-07,1,24
6,20,26,2019-01-08,2,1
8,7,15,2019-01-08,2,2
8,6,14,2019-01-08,2,3
11,10,21,2019-01-08,2,4
33,26,59,2019-01-08,2,5
199,126,325,2019-01-08,2,6
501,396,897,2019-01-08,2,7
816,517,1333,2019-01-08,2,8
539,397,936,2019-01-08,2,9
464,357,821,2019-01-08,2,10
454,444,898,2019-01-08,2,11
437,450,887,2019-01-08,2,12
450,497,947,2019-01-08,2,13
458,528,986,2019-01-08,2,14
479,548,1027,2019-01-08,2,15
482,627,1109,2019-01-08,2,16
694,731,1425,2019-01-08,2,17
461,606,1067,2019-01-08,2,18
314,417,731,2019-01-08,2,19
235,260,495,2019-01-08,2,20
122,171,293,2019-01-08,2,21
71,129,200,2019-01-08,2,22
59,67,126,2019-01-08,2,23
25,25,50,2019-01-08,2,24
9,22,31,2019-01-09,3,1
10,6,16,2019-01-09,3,2
3,2,5,2019-01-09,3,3
12,13,25,2019-01-09,3,4
43,32,75,2019-01-09,3,5
204,139,343,2019-01-09,3,6
516,381,897,2019-01-09,3,7
800,505,1305,2019-01-09,3,8
533,378,911,2019-01-09,3,9
493,385,878,2019-01-09,3,10
427,408,835,2019-01-09,3,11
429,465,894,2019-01-09,3,12
492,517,1009,2019-01-09,3,13
447,542,989,2019-01-09,3,14
502,551,1053,2019-01-09,3,15
520,643,1163,2019-01-09,3,16
646,700,1346,2019-01-09,3,17
459,571,1030,2019-01-09,3,18
314,382,696,2019-01-09,3,19
202,237,439,2019-01-09,3,20
138,176,314,2019-01-09,3,21
103,122,225,2019-01-09,3,22
78,86,164,2019-01-09,3,23
26,40,66,2019-01-09,3,24
13,17,30,2019-01-10,4,1
13,15,28,2019-01-10,4,2
6,4,10,2019-01-10,4,3
12,16,28,2019-01-10,4,4
36,28,64,2019-01-10,4,5
193,138,331,2019-01-10,4,6
492,392,884,2019-01-10,4,7
824,502,1326,2019-01-10,4,8
527,389,916,2019-01-10,4,9
484,393,877,2019-01-10,4,10
446,464,910,2019-01-10,4,11
463,464,927,2019-01-10,4,12
431,496,927,2019-01-10,4,13
501,539,1040,2019-01-10,4,14
508,522,1030,2019-01-10,4,15
549,648,1197,2019-01-10,4,16
645,741,1386,2019-01-10,4,17
514,583,1097,2019-01-10,4,18
293,477,770,2019-01-10,4,19
211,281,492,2019-01-10,4,20
149,163,312,2019-01-10,4,21
99,114,213,2019-01-10,4,22
62,78,140,2019-01-10,4,23
33,38,71,2019-01-10,4,24
7,19,26,2019-01-11,5,1
6,8,14,2019-01-11,5,2
9,9,18,2019-01-11,5,3
10,10,20,2019-01-11,5,4
34,31,65,2019-01-11,5,5
189,128,317,2019-01-11,5,6
473,372,845,2019-01-11,5,7
757,519,1276,2019-01-11,5,8
457,395,852,2019-01-11,5,9
480,363,843,2019-01-11,5,10
496,442,938,2019-01-11,5,11
559,563,1122,2019-01-11,5,12
631,638,1269,2019-01-11,5,13
591,667,1258,2019-01-11,5,14
544,670,1214,2019-01-11,5,15
507,597,1104,2019-01-11,5,16
528,590,1118,2019-01-11,5,17
443,474,917,2019-01-11,5,18
300,383,683,2019-01-11,5,19
214,230,444,2019-01-11,5,20
148,154,302,2019-01-11,5,21
121,127,248,2019-01-11,5,22
69,113,182,2019-01-11,5,23
55,74,129,2019-01-11,5,24
29,29,58,2019-01-12,6,1
16,29,45,2019-01-12,6,2
14,16,30,2019-01-12,6,3
10,15,25,2019-01-12,6,4
12,14,26,2019-01-12,6,5
62,48,110,2019-01-12,6,6
57,58,115,2019-01-12,6,7
122,90,212,2019-01-12,6,8
220,152,372,2019-01-12,6,9
319,250,569,2019-01-12,6,10
423,388,811,2019-01-12,6,11
418,500,918,2019-01-12,6,12
446,447,893,2019-01-12,6,13
389,400,789,2019-01-12,6,14
344,414,758,2019-01-12,6,15
341,408,749,2019-01-12,6,16
306,348,654,2019-01-12,6,17
331,348,679,2019-01-12,6,18
238,279,517,2019-01-12,6,19
179,171,350,2019-01-12,6,20
168,132,300,2019-01-12,6,21
88,108,196,2019-01-12,6,22
69,100,169,2019-01-12,6,23
40,78,118,2019-01-12,6,24
48,46,94,2019-01-13,7,1
25,43,68,2019-01-13,7,2
20,26,46,2019-01-13,7,3
15,21,36,2019-01-13,7,4
17,15,32,2019-01-13,7,5
37,40,77,2019-01-13,7,6
34,30,64,2019-01-13,7,7
39,43,82,2019-01-13,7,8
71,48,119,2019-01-13,7,9
176,170,346,2019-01-13,7,10
223,252,475,2019-01-13,7,11
256,268,524,2019-01-13,7,12
334,295,629,2019-01-13,7,13
342,330,672,2019-01-13,7,14
346,374,720,2019-01-13,7,15
313,364,677,2019-01-13,7,16
293,290,583,2019-01-13,7,17
306,305,611,2019-01-13,7,18
197,206,403,2019-01-13,7,19
145,194,339,2019-01-13,7,20
110,149,259,2019-01-13,7,21
55,74,129,2019-01-13,7,22
40,43,83,2019-01-13,7,23
15,27,42,2019-01-13,7,24
9,24,33,2019-01-14,1,1
5,9,14,2019-01-14,1,2
7,10,17,2019-01-14,1,3
7,12,19,2019-01-14,1,4
44,40,84,2019-01-14,1,5
211,176,387,2019-01-14,1,6
547,388,935,2019-01-14,1,7
822,570,1392,2019-01-14,1,8
564,380,944,2019-01-14,1,9
473,434,907,2019-01-14,1,10
472,446,918,2019-01-14,1,11
452,488,940,2019-01-14,1,12
511,526,1037,2019-01-14,1,13
485,538,1023,2019-01-14,1,14
554,515,1069,2019-01-14,1,15
538,625,1163,2019-01-14,1,16
620,790,1410,2019-01-14,1,17
466,610,1076,2019-01-14,1,18
327,470,797,2019-01-14,1,19
254,275,529,2019-01-14,1,20
136,142,278,2019-01-14,1,21
90,110,200,2019-01-14,1,22
49,99,148,2019-01-14,1,23
17,35,52,2019-01-14,1,24
9,12,21,2019-01-15,2,1
8,8,16,2019-01-15,2,2
6,8,14,2019-01-15,2,3
11,12,23,2019-01-15,2,4
37,41,78,2019-01-15,2,5
204,137,341,2019-01-15,2,6
539,380,919,2019-01-15,2,7
814,530,1344,2019-01-15,2,8
551,413,964,2019-01-15,2,9
495,391,886,2019-01-15,2,10
478,478,956,2019-01-15,2,11
452,485,937,2019-01-15,2,12
435,501,936,2019-01-15,2,13
453,560,1013,2019-01-15,2,14
503,505,1008,2019-01-15,2,15
510,676,1186,2019-01-15,2,16
646,725,1371,2019-01-15,2,17
479,585,1064,2019-01-15,2,18
330,453,783,2019-01-15,2,19
225,293,518,2019-01-15,2,20
139,148,287,2019-01-15,2,21
95,116,211,2019-01-15,2,22
58,73,131,2019-01-15,2,23
23,33,56,2019-01-15,2,24
17,11,28,2019-01-16,3,1
11,7,18,2019-01-16,3,2
4,7,11,2019-01-16,3,3
13,9,22,2019-01-16,3,4
40,33,73,2019-01-16,3,5
203,135,338,2019-01-16,3,6
513,364,877,2019-01-16,3,7
780,537,1317,2019-01-16,3,8
516,391,907,2019-01-16,3,9
462,370,832,2019-01-16,3,10
486,430,916,2019-01-16,3,11
440,446,886,2019-01-16,3,12
476,518,994,2019-01-16,3,13
454,569,1023,2019-01-16,3,14
483,542,1025,2019-01-16,3,15
523,621,1144,2019-01-16,3,16
612,702,1314,2019-01-16,3,17
441,560,1001,2019-01-16,3,18
337,423,760,2019-01-16,3,19
197,275,472,2019-01-16,3,20
147,180,327,2019-01-16,3,21
95,129,224,2019-01-16,3,22
68,71,139,2019-01-16,3,23
32,34,66,2019-01-16,3,24
15,23,38,2019-01-17,4,1
8,10,18,2019-01-17,4,2
8,12,20,2019-01-17,4,3
12,12,24,2019-01-17,4,4
37,35,72,2019-01-17,4,5
203,137,340,2019-01-17,4,6
498,387,885,2019-01-17,4,7
820,520,1340,2019-01-17,4,8
561,393,954,2019-01-17,4,9
493,434,927,2019-01-17,4,10
457,469,926,2019-01-17,4,11
432,468,900,2019-01-17,4,12
470,540,1010,2019-01-17,4,13
486,495,981,2019-01-17,4,14
457,522,979,2019-01-17,4,15
587,646,1233,2019-01-17,4,16
669,699,1368,2019-01-17,4,17
486,592,1078,2019-01-17,4,18
315,481,796,2019-01-17,4,19
235,288,523,2019-01-17,4,20
124,174,298,2019-01-17,4,21
102,120,222,2019-01-17,4,22
75,104,179,2019-01-17,4,23
44,38,82,2019-01-17,4,24
12,21,33,2019-01-18,5,1
6,13,19,2019-01-18,5,2
13,10,23,2019-01-18,5,3
14,27,41,2019-01-18,5,4
42,37,79,2019-01-18,5,5
192,138,330,2019-01-18,5,6
468,349,817,2019-01-18,5,7
800,515,1315,2019-01-18,5,8
493,413,906,2019-01-18,5,9
473,407,880,2019-01-18,5,10
455,459,914,2019-01-18,5,11
546,521,1067,2019-01-18,5,12
595,677,1272,2019-01-18,5,13
540,639,1179,2019-01-18,5,14
631,639,1270,2019-01-18,5,15
623,612,1235,2019-01-18,5,16
589,551,1140,2019-01-18,5,17
459,496,955,2019-01-18,5,18
348,415,763,2019-01-18,5,19
237,257,494,2019-01-18,5,20
140,165,305,2019-01-18,5,21
98,115,213,2019-01-18,5,22
90,112,202,2019-01-18,5,23
58,113,171,2019-01-18,5,24
34,67,101,2019-01-19,6,1
26,23,49,2019-01-19,6,2
15,30,45,2019-01-19,6,3
13,15,28,2019-01-19,6,4
24,19,43,2019-01-19,6,5
60,39,99,2019-01-19,6,6
66,54,120,2019-01-19,6,7
111,86,197,2019-01-19,6,8
194,157,351,2019-01-19,6,9
378,261,639,2019-01-19,6,10
417,362,779,2019-01-19,6,11
486,420,906,2019-01-19,6,12
474,421,895,2019-01-19,6,13
398,442,840,2019-01-19,6,14
387,465,852,2019-01-19,6,15
314,413,727,2019-01-19,6,16
310,374,684,2019-01-19,6,17
303,359,662,2019-01-19,6,18
249,273,522,2019-01-19,6,19
176,208,384,2019-01-19,6,20
113,149,262,2019-01-19,6,21
88,105,193,2019-01-19,6,22
74,95,169,2019-01-19,6,23
61,78,139,2019-01-19,6,24
54,58,112,2019-01-20,7,1
49,35,84,2019-01-20,7,2
28,28,56,2019-01-20,7,3
17,25,42,2019-01-20,7,4
20,32,52,2019-01-20,7,5
48,33,81,2019-01-20,7,6
38,45,83,2019-01-20,7,7
36,53,89,2019-01-20,7,8
75,80,155,2019-01-20,7,9
170,143,313,2019-01-20,7,10
223,196,419,2019-01-20,7,11
316,300,616,2019-01-20,7,12
355,290,645,2019-01-20,7,13
396,396,792,2019-01-20,7,14
424,427,851,2019-01-20,7,15
363,407,770,2019-01-20,7,16
342,387,729,2019-01-20,7,17
288,316,604,2019-01-20,7,18
197,241,438,2019-01-20,7,19
152,170,322,2019-01-20,7,20
112,134,246,2019-01-20,7,21
57,85,142,2019-01-20,7,22
56,54,110,2019-01-20,7,23
24,26,50,2019-01-20,7,24
3,18,21,2019-01-21,1,1
9,5,14,2019-01-21,1,2
9,8,17,2019-01-21,1,3
13,12,25,2019-01-21,1,4
41,35,76,2019-01-21,1,5
207,160,367,2019-01-21,1,6
495,389,884,2019-01-21,1,7
826,525,1351,2019-01-21,1,8
548,429,977,2019-01-21,1,9
454,404,858,2019-01-21,1,10
454,403,857,2019-01-21,1,11
407,489,896,2019-01-21,1,12
483,524,1007,2019-01-21,1,13
484,502,986,2019-01-21,1,14
466,524,990,2019-01-21,1,15
548,619,1167,2019-01-21,1,16
634,669,1303,2019-01-21,1,17
470,604,1074,2019-01-21,1,18
332,464,796,2019-01-21,1,19
213,276,489,2019-01-21,1,20
123,155,278,2019-01-21,1,21
95,119,214,2019-01-21,1,22
35,62,97,2019-01-21,1,23
22,18,40,2019-01-21,1,24
9,14,23,2019-01-22,2,1
7,13,20,2019-01-22,2,2
14,15,29,2019-01-22,2,3
15,24,39,2019-01-22,2,4
36,45,81,2019-01-22,2,5
207,140,347,2019-01-22,2,6
496,386,882,2019-01-22,2,7
830,537,1367,2019-01-22,2,8
555,387,942,2019-01-22,2,9
440,392,832,2019-01-22,2,10
417,407,824,2019-01-22,2,11
485,469,954,2019-01-22,2,12
478,505,983,2019-01-22,2,13
447,570,1017,2019-01-22,2,14
507,548,1055,2019-01-22,2,15
549,619,1168,2019-01-22,2,16
629,768,1397,2019-01-22,2,17
455,614,1069,2019-01-22,2,18
341,454,795,2019-01-22,2,19
251,267,518,2019-01-22,2,20
146,179,325,2019-01-22,2,21
100,144,244,2019-01-22,2,22
52,79,131,2019-01-22,2,23
24,30,54,2019-01-22,2,24
9,18,27,2019-01-23,3,1
7,20,27,2019-01-23,3,2
10,7,17,2019-01-23,3,3
12,11,23,2019-01-23,3,4
34,39,73,2019-01-23,3,5
212,144,356,2019-01-23,3,6
516,374,890,2019-01-23,3,7
809,544,1353,2019-01-23,3,8
516,411,927,2019-01-23,3,9
491,371,862,2019-01-23,3,10
471,445,916,2019-01-23,3,11
446,468,914,2019-01-23,3,12
488,516,1004,2019-01-23,3,13
473,560,1033,2019-01-23,3,14
504,549,1053,2019-01-23,3,15
532,655,1187,2019-01-23,3,16
600,735,1335,2019-01-23,3,17
481,602,1083,2019-01-23,3,18
376,427,803,2019-01-23,3,19
216,228,444,2019-01-23,3,20
141,138,279,2019-01-23,3,21
74,136,210,2019-01-23,3,22
70,74,144,2019-01-23,3,23
23,33,56,2019-01-23,3,24
16,23,39,2019-01-24,4,1
10,18,28,2019-01-24,4,2
7,6,13,2019-01-24,4,3
12,15,27,2019-01-24,4,4
31,27,58,2019-01-24,4,5
189,140,329,2019-01-24,4,6
500,368,868,2019-01-24,4,7
824,499,1323,2019-01-24,4,8
550,386,936,2019-01-24,4,9
477,429,906,2019-01-24,4,10
422,418,840,2019-01-24,4,11
475,486,961,2019-01-24,4,12
474,539,1013,2019-01-24,4,13
482,562,1044,2019-01-24,4,14
467,520,987,2019-01-24,4,15
521,642,1163,2019-01-24,4,16
685,757,1442,2019-01-24,4,17
480,601,1081,2019-01-24,4,18
331,436,767,2019-01-24,4,19
234,310,544,2019-01-24,4,20
156,204,360,2019-01-24,4,21
119,116,235,2019-01-24,4,22
65,86,151,2019-01-24,4,23
30,36,66,2019-01-24,4,24
11,21,32,2019-01-25,5,1
13,18,31,2019-01-25,5,2
5,11,16,2019-01-25,5,3
14,8,22,2019-01-25,5,4
38,32,70,2019-01-25,5,5
189,139,328,2019-01-25,5,6
456,342,798,2019-01-25,5,7
768,481,1249,2019-01-25,5,8
524,389,913,2019-01-25,5,9
462,406,868,2019-01-25,5,10
494,462,956,2019-01-25,5,11
542,608,1150,2019-01-25,5,12
597,687,1284,2019-01-25,5,13
528,657,1185,2019-01-25,5,14
534,610,1144,2019-01-25,5,15
514,585,1099,2019-01-25,5,16
472,573,1045,2019-01-25,5,17
398,461,859,2019-01-25,5,18
342,398,740,2019-01-25,5,19
271,233,504,2019-01-25,5,20
151,179,330,2019-01-25,5,21
83,117,200,2019-01-25,5,22
98,109,207,2019-01-25,5,23
49,96,145,2019-01-25,5,24
39,66,105,2019-01-26,6,1
25,30,55,2019-01-26,6,2
12,20,32,2019-01-26,6,3
20,19,39,2019-01-26,6,4
24,37,61,2019-01-26,6,5
64,52,116,2019-01-26,6,6
57,58,115,2019-01-26,6,7
122,99,221,2019-01-26,6,8
199,144,343,2019-01-26,6,9
289,224,513,2019-01-26,6,10
413,336,749,2019-01-26,6,11
433,400,833,2019-01-26,6,12
416,421,837,2019-01-26,6,13
377,447,824,2019-01-26,6,14
365,432,797,2019-01-26,6,15
300,360,660,2019-01-26,6,16
322,346,668,2019-01-26,6,17
306,300,606,2019-01-26,6,18
219,248,467,2019-01-26,6,19
151,203,354,2019-01-26,6,20
102,146,248,2019-01-26,6,21
74,103,177,2019-01-26,6,22
99,70,169,2019-01-26,6,23
63,88,151,2019-01-26,6,24
61,35,96,2019-01-27,7,1
50,32,82,2019-01-27,7,2
22,24,46,2019-01-27,7,3
27,25,52,2019-01-27,7,4
19,20,39,2019-01-27,7,5
45,40,85,2019-01-27,7,6
35,43,78,2019-01-27,7,7
41,38,79,2019-01-27,7,8
99,64,163,2019-01-27,7,9
155,155,310,2019-01-27,7,10
198,217,415,2019-01-27,7,11
265,271,536,2019-01-27,7,12
307,308,615,2019-01-27,7,13
304,298,602,2019-01-27,7,14
299,304,603,2019-01-27,7,15
239,292,531,2019-01-27,7,16
287,298,585,2019-01-27,7,17
292,283,575,2019-01-27,7,18
182,216,398,2019-01-27,7,19
149,150,299,2019-01-27,7,20
103,110,213,2019-01-27,7,21
71,81,152,2019-01-27,7,22
39,63,102,2019-01-27,7,23
25,37,62,2019-01-27,7,24
12,22,34,2019-01-28,1,1
9,13,22,2019-01-28,1,2
6,9,15,2019-01-28,1,3
15,17,32,2019-01-28,1,4
38,42,80,2019-01-28,1,5
211,141,352,2019-01-28,1,6
491,352,843,2019-01-28,1,7
818,529,1347,2019-01-28,1,8
509,395,904,2019-01-28,1,9
481,415,896,2019-01-28,1,10
469,444,913,2019-01-28,1,11
472,471,943,2019-01-28,1,12
492,520,1012,2019-01-28,1,13
505,507,1012,2019-01-28,1,14
456,473,929,2019-01-28,1,15
559,670,1229,2019-01-28,1,16
592,720,1312,2019-01-28,1,17
428,556,984,2019-01-28,1,18
302,459,761,2019-01-28,1,19
206,249,455,2019-01-28,1,20
131,140,271,2019-01-28,1,21
90,113,203,2019-01-28,1,22
60,69,129,2019-01-28,1,23
22,26,48,2019-01-28,1,24
15,16,31,2019-01-29,2,1
10,12,22,2019-01-29,2,2
8,8,16,2019-01-29,2,3
13,19,32,2019-01-29,2,4
42,39,81,2019-01-29,2,5
190,135,325,2019-01-29,2,6
513,367,880,2019-01-29,2,7
816,484,1300,2019-01-29,2,8
492,395,887,2019-01-29,2,9
483,393,876,2019-01-29,2,10
428,434,862,2019-01-29,2,11
456,442,898,2019-01-29,2,12
467,475,942,2019-01-29,2,13
477,555,1032,2019-01-29,2,14
488,508,996,2019-01-29,2,15
524,657,1181,2019-01-29,2,16
624,720,1344,2019-01-29,2,17
484,632,1116,2019-01-29,2,18
350,418,768,2019-01-29,2,19
225,284,509,2019-01-29,2,20
130,186,316,2019-01-29,2,21
96,132,228,2019-01-29,2,22
41,71,112,2019-01-29,2,23
21,46,67,2019-01-29,2,24
20,14,34,2019-01-30,3,1
10,6,16,2019-01-30,3,2
3,8,11,2019-01-30,3,3
16,16,32,2019-01-30,3,4
36,41,77,2019-01-30,3,5
211,116,327,2019-01-30,3,6
494,367,861,2019-01-30,3,7
759,539,1298,2019-01-30,3,8
559,393,952,2019-01-30,3,9
478,390,868,2019-01-30,3,10
418,421,839,2019-01-30,3,11
454,469,923,2019-01-30,3,12
507,541,1048,2019-01-30,3,13
444,521,965,2019-01-30,3,14
474,520,994,2019-01-30,3,15
520,683,1203,2019-01-30,3,16
620,714,1334,2019-01-30,3,17
495,606,1101,2019-01-30,3,18
306,421,727,2019-01-30,3,19
210,236,446,2019-01-30,3,20
148,168,316,2019-01-30,3,21
89,114,203,2019-01-30,3,22
50,79,129,2019-01-30,3,23
19,40,59,2019-01-30,3,24
22,19,41,2019-01-31,4,1
9,11,20,2019-01-31,4,2
7,11,18,2019-01-31,4,3
13,14,27,2019-01-31,4,4
46,45,91,2019-01-31,4,5
204,151,355,2019-01-31,4,6
481,355,836,2019-01-31,4,7
817,510,1327,2019-01-31,4,8
558,416,974,2019-01-31,4,9
455,407,862,2019-01-31,4,10
479,450,929,2019-01-31,4,11
446,475,921,2019-01-31,4,12
474,542,1016,2019-01-31,4,13
486,594,1080,2019-01-31,4,14
513,572,1085,2019-01-31,4,15
578,623,1201,2019-01-31,4,16
637,727,1364,2019-01-31,4,17
482,664,1146,2019-01-31,4,18
335,498,833,2019-01-31,4,19
247,262,509,2019-01-31,4,20
153,166,319,2019-01-31,4,21
106,153,259,2019-01-31,4,22
69,80,149,2019-01-31,4,23
28,43,71,2019-01-31,4,24
13,15,28,2019-02-01,5,1
7,14,21,2019-02-01,5,2
8,10,18,2019-02-01,5,3
11,7,18,2019-02-01,5,4
52,46,98,2019-02-01,5,5
189,127,316,2019-02-01,5,6
446,327,773,2019-02-01,5,7
723,496,1219,2019-02-01,5,8
541,375,916,2019-02-01,5,9
477,404,881,2019-02-01,5,10
460,501,961,2019-02-01,5,11
528,563,1091,2019-02-01,5,12
614,657,1271,2019-02-01,5,13
596,660,1256,2019-02-01,5,14
590,653,1243,2019-02-01,5,15
508,614,1122,2019-02-01,5,16
498,567,1065,2019-02-01,5,17
406,483,889,2019-02-01,5,18
364,398,762,2019-02-01,5,19
215,245,460,2019-02-01,5,20
132,178,310,2019-02-01,5,21
95,149,244,2019-02-01,5,22
74,117,191,2019-02-01,5,23
37,73,110,2019-02-01,5,24
38,46,84,2019-02-02,6,1
24,26,50,2019-02-02,6,2
21,23,44,2019-02-02,6,3
21,20,41,2019-02-02,6,4
24,18,42,2019-02-02,6,5
71,55,126,2019-02-02,6,6
61,45,106,2019-02-02,6,7
114,91,205,2019-02-02,6,8
232,153,385,2019-02-02,6,9
374,276,650,2019-02-02,6,10
443,346,789,2019-02-02,6,11
466,447,913,2019-02-02,6,12
428,505,933,2019-02-02,6,13
406,485,891,2019-02-02,6,14
407,436,843,2019-02-02,6,15
362,390,752,2019-02-02,6,16
342,370,712,2019-02-02,6,17
326,338,664,2019-02-02,6,18
249,280,529,2019-02-02,6,19
142,212,354,2019-02-02,6,20
102,154,256,2019-02-02,6,21
100,124,224,2019-02-02,6,22
77,100,177,2019-02-02,6,23
44,73,117,2019-02-02,6,24
48,40,88,2019-02-03,7,1
35,39,74,2019-02-03,7,2
20,24,44,2019-02-03,7,3
23,21,44,2019-02-03,7,4
17,17,34,2019-02-03,7,5
60,29,89,2019-02-03,7,6
45,41,86,2019-02-03,7,7
60,49,109,2019-02-03,7,8
97,65,162,2019-02-03,7,9
213,167,380,2019-02-03,7,10
361,257,618,2019-02-03,7,11
544,389,933,2019-02-03,7,12
622,431,1053,2019-02-03,7,13
524,516,1040,2019-02-03,7,14
487,624,1111,2019-02-03,7,15
335,516,851,2019-02-03,7,16
303,528,831,2019-02-03,7,17
358,420,778,2019-02-03,7,18
238,258,496,2019-02-03,7,19
143,172,315,2019-02-03,7,20
134,145,279,2019-02-03,7,21
