Date,Hour,NO2-ug-per-m3
2019-01-12,20,28
2019-01-12,21,28
2019-01-12,22,19
2019-01-12,23,19
2019-01-12,24,18
2019-01-13,01,16
2019-01-13,02,12
2019-01-13,03,10
2019-01-13,04,7
2019-01-13,05,7
2019-01-13,06,8
2019-01-13,07,6
2019-01-13,08,7
2019-01-13,09,10
2019-01-13,10,14
2019-01-13,11,19
2019-01-13,12,21
2019-01-13,13,25
2019-01-13,14,27
2019-01-13,15,24
2019-01-13,16,25
2019-01-13,17,25
2019-01-13,18,27
2019-01-13,19,35
2019-01-13,20,27
2019-01-13,21,22
2019-01-13,22,15
2019-01-13,23,16
2019-01-13,24,8
2019-01-14,01,8
2019-01-14,02,7
2019-01-14,03,7
2019-01-14,04,12
2019-01-14,05,24
2019-01-14,06,64
2019-01-14,07,91
2019-01-14,08,81
2019-01-14,09,88
2019-01-14,10,80
2019-01-14,11,71
2019-01-14,12,64
2019-01-14,13,73
2019-01-14,14,73
2019-01-14,15,83
2019-01-14,16,91
2019-01-14,17,87
2019-01-14,18,79
2019-01-14,19,66
2019-01-14,20,52
2019-01-14,21,42
2019-01-14,22,34
2019-01-14,23,24
2019-01-14,24,15
2019-01-15,01,10
2019-01-15,02,9
2019-01-15,03,8
2019-01-15,04,8
2019-01-15,05,13
2019-01-15,06,32
2019-01-15,07,52
2019-01-15,08,68
2019-01-15,09,63
2019-01-15,10,53
2019-01-15,11,43
2019-01-15,12,36
2019-01-15,13,36
2019-01-15,14,41
2019-01-15,15,45
2019-01-15,16,47
2019-01-15,17,54
2019-01-15,18,48
2019-01-15,19,46
2019-01-15,20,32
2019-01-15,21,20
2019-01-15,22,22
2019-01-15,23,13
2019-01-15,24,8
2019-01-16,01,7
2019-01-16,02,11
2019-01-16,03,11
2019-01-16,04,11
2019-01-16,05,15
2019-01-16,06,22
2019-01-16,07,35
2019-01-16,08,45
2019-01-16,09,40
2019-01-16,10,34
2019-01-16,11,32
2019-01-16,12,28
2019-01-16,13,31
2019-01-16,14,32
2019-01-16,15,29
2019-01-16,16,32
2019-01-16,17,31
2019-01-16,18,30
2019-01-16,19,25
2019-01-16,20,19
2019-01-16,21,15
2019-01-16,22,11
2019-01-16,23,10
2019-01-16,24,9
2019-01-17,01,8
2019-01-17,02,7
2019-01-17,03,6
2019-01-17,04,6
2019-01-17,05,8
2019-01-17,06,25
2019-01-17,07,37
2019-01-17,08,40
2019-01-17,09,35
2019-01-17,10,31
2019-01-17,11,26
2019-01-17,12,26
2019-01-17,13,29
2019-01-17,14,31
2019-01-17,15,65
2019-01-17,16,83
2019-01-17,17,85
2019-01-17,5-1-18
2019-01-17,5-1-19
2019-01-17,20,95
2019-01-17,21,74
2019-01-17,22,60
2019-01-17,23,34
2019-01-17,24,20
2019-01-18,01,14
2019-01-18,02,17
2019-01-18,03,15
2019-01-18,04,29
2019-01-18,05,62
2019-01-18,06,68
