Row,Number of vessels,Date,Hour
2228,5,2019-04-03,20
2229,4,2019-04-03,21
2230,4,2019-04-03,22
2231,5,2019-04-03,23
2232,5,2019-04-04,0
2233,5,2019-04-04,1
2234,3,2019-04-04,2
2235,4,2019-04-04,3
2236,6,2019-04-04,4
2237,5,2019-04-04,5
2238,6,2019-04-04,6
2239,8,2019-04-04,7
2240,6,2019-04-04,8
2241,5,2019-04-04,9
2242,1,2019-04-04,10
2243,2,2019-04-04,11
2244,3,2019-04-04,12
2245,3,2019-04-04,13
2246,0,2019-04-04,14
2247,3,2019-04-04,15
2248,8,2019-04-04,16
2249,7,2019-04-04,17
2250,5,2019-04-04,18
2251,4,2019-04-04,19
2252,6,2019-04-04,20
2253,4,2019-04-04,21
2254,8,2019-04-04,22
2255,9,2019-04-04,23
2256,7,2019-04-05,0
2257,7,2019-04-05,1
2258,6,2019-04-05,2
2259,5,2019-04-05,3
2260,10,2019-04-05,4
2261,12,2019-04-05,5
2262,9,2019-04-05,6
2263,8,2019-04-05,7
2264,9,2019-04-05,8
2265,7,2019-04-05,9
2266,4,2019-04-05,10
2267,8,2019-04-05,11
2268,7,2019-04-05,12
2269,7,2019-04-05,13
2270,7,2019-04-05,14
2271,5,2019-04-05,15
2272,8,2019-04-05,16
2273,8,2019-04-05,17
2274,5,2019-04-05,18
2275,0,2019-04-05,19
2276,1,2019-04-05,20
2277,1,2019-04-05,21
2278,6,2019-04-05,22
2279,6,2019-04-05,23
2280,7,2019-04-06,0
2281,6,2019-04-06,1
2282,7,2019-04-06,2
2283,6,2019-04-06,3
2284,7,2019-04-06,4
2285,8,2019-04-06,5
2286,8,2019-04-06,6
2287,12,2019-04-06,7
2288,10,2019-04-06,8
2289,8,2019-04-06,9
2290,4,2019-04-06,10
2291,4,2019-04-06,11
2292,8,2019-04-06,12
2293,7,2019-04-06,13
2294,9,2019-04-06,14
2295,10,2019-04-06,15
2296,9,2019-04-06,16
2297,6,2019-04-06,17
2298,5,2019-04-06,18
2299,5,2019-04-06,19
2300,4,2019-04-06,20
2301,9,2019-04-06,21
2302,10,2019-04-06,22
2303,8,2019-04-06,23
2304,5,2019-04-07,0
2305,2,2019-04-07,1
2306,5,2019-04-07,2
2307,6,2019-04-07,3
2308,12,2019-04-07,4
2309,15,2019-04-07,5
2310,16,2019-04-07,6
2311,15,2019-04-07,7
2312,12,2019-04-07,8
2313,12,2019-04-07,9
2314,6,2019-04-07,10
2315,7,2019-04-07,11
2316,9,2019-04-07,12
2317,11,2019-04-07,13
2318,8,2019-04-07,14
2319,9,2019-04-07,15
2320,7,2019-04-07,16
2321,6,2019-04-07,17
2322,6,2019-04-07,18
2323,6,2019-04-07,19
2324,7,2019-04-07,20
2325,4,2019-04-07,21
2326,8,2019-04-07,22
2327,6,2019-04-07,23
2328,3,2019-04-08,0
2329,4,2019-04-08,1
2330,4,2019-04-08,2
2331,7,2019-04-08,3
2332,6,2019-04-08,4
2333,6,2019-04-08,5
2334,8,2019-04-08,6
2335,7,2019-04-08,7
2336,3,2019-04-08,8
2337,5,2019-04-08,9
2338,5,2019-04-08,10
2339,7,2019-04-08,11
2340,5,2019-04-08,12
2341,4,2019-04-08,13
2342,2,2019-04-08,14
2343,3,2019-04-08,15
2344,3,2019-04-08,16
2345,0,2019-04-08,17
2346,0,2019-04-08,18
2347,0,2019-04-08,19
2348,0,2019-04-08,20
2349,0,2019-04-08,21
2350,0,2019-04-08,22
2351,0,2019-04-08,23
2352,7,2019-04-09,0
2353,6,2019-04-09,1
2354,3,2019-04-09,2
2355,4,2019-04-09,3
2356,3,2019-04-09,4
2357,4,2019-04-09,5
2358,7,2019-04-09,6
2359,6,2019-04-09,7
2360,4,2019-04-09,8
2361,4,2019-04-09,9
2362,8,2019-04-09,10
2363,7,2019-04-09,11
2364,9,2019-04-09,12
2365,6,2019-04-09,13
2366,7,2019-04-09,14
2367,3,2019-04-09,15
2368,5,2019-04-09,16
2369,5,2019-04-09,17
2370,6,2019-04-09,18
2371,6,2019-04-09,19
2372,5,2019-04-09,20
2373,3,2019-04-09,21
2374,5,2019-04-09,22
2375,5,2019-04-09,23
2376,6,2019-04-10,0
2377,7,2019-04-10,1
2378,7,2019-04-10,2
2379,5,2019-04-10,3
2380,3,2019-04-10,4
2381,8,2019-04-10,5
2382,9,2019-04-10,6
2383,10,2019-04-10,7
2384,9,2019-04-10,8
2385,8,2019-04-10,9
2386,6,2019-04-10,10
2387,8,2019-04-10,11
2388,5,2019-04-10,12
2389,4,2019-04-10,13
2390,6,2019-04-10,14
2391,6,2019-04-10,15
2392,4,2019-04-10,16
2393,3,2019-04-10,17
2394,4,2019-04-10,18
2395,4,2019-04-10,19
2396,3,2019-04-10,20
2397,3,2019-04-10,21
2398,2,2019-04-10,22
2399,4,2019-04-10,23
2400,4,2019-04-11,0
2401,5,2019-04-11,1
2402,3,2019-04-11,2
2403,2,2019-04-11,3
2404,7,2019-04-11,4
2405,10,2019-04-11,5
2406,10,2019-04-11,6
2407,8,2019-04-11,7
2408,9,2019-04-11,8
2409,7,2019-04-11,9
2410,6,2019-04-11,10
2411,3,2019-04-11,11
2412,4,2019-04-11,12
2413,7,2019-04-11,13
2414,5,2019-04-11,14
2415,6,2019-04-11,15
2416,2,2019-04-11,16
2417,5,2019-04-11,17
2418,4,2019-04-11,18
2419,4,2019-04-11,19
2420,3,2019-04-11,20
2421,1,2019-04-11,21
2422,2,2019-04-11,22
2423,5,2019-04-11,23
2424,4,2019-04-12,0
2425,2,2019-04-12,1
2426,9,2019-04-12,2
2427,11,2019-04-12,3
2428,9,2019-04-12,4
2429,9,2019-04-12,5
2430,8,2019-04-12,6
2431,9,2019-04-12,7
2432,9,2019-04-12,8
2433,9,2019-04-12,9
2434,8,2019-04-12,10
2435,5,2019-04-12,11
2436,4,2019-04-12,12
2437,5,2019-04-12,13
2438,6,2019-04-12,14
2439,3,2019-04-12,15
2440,6,2019-04-12,16
2441,4,2019-04-12,17
2442,3,2019-04-12,18
2443,5,2019-04-12,19
2444,6,2019-04-12,20
2445,8,2019-04-12,21
2446,7,2019-04-12,22
2447,7,2019-04-12,23
2448,2,2019-04-13,0
2449,4,2019-04-13,1
2450,2,2019-04-13,2
2451,5,2019-04-13,3
2452,9,2019-04-13,4
2453,9,2019-04-13,5
2454,9,2019-04-13,6
2455,5,2019-04-13,7
2456,5,2019-04-13,8
2457,5,2019-04-13,9
2458,2,2019-04-13,10
2459,3,2019-04-13,11
2460,5,2019-04-13,12
2461,11,2019-04-13,13
2462,10,2019-04-13,14
2463,12,2019-04-13,15
2464,11,2019-04-13,16
2465,8,2019-04-13,17
2466,6,2019-04-13,18
2467,4,2019-04-13,19
2468,12,2019-04-13,20
2469,11,2019-04-13,21
2470,10,2019-04-13,22
2471,10,2019-04-13,23
2472,3,2019-04-14,0
2473,4,2019-04-14,1
2474,2,2019-04-14,2
2475,5,2019-04-14,3
2476,7,2019-04-14,4
2477,7,2019-04-14,5
2478,6,2019-04-14,6
2479,7,2019-04-14,7
2480,6,2019-04-14,8
2481,10,2019-04-14,9
2482,11,2019-04-14,10
2483,10,2019-04-14,11
2484,10,2019-04-14,12
2485,13,2019-04-14,13
2486,12,2019-04-14,14
2487,8,2019-04-14,15
2488,7,2019-04-14,16
2489,3,2019-04-14,17
2490,4,2019-04-14,18
2491,3,2019-04-14,19
2492,5,2019-04-14,20
2493,6,2019-04-14,21
2494,6,2019-04-14,22
2495,9,2019-04-14,23
2496,4,2019-04-15,0
2497,5,2019-04-15,1
2498,4,2019-04-15,2
2499,3,2019-04-15,3
2500,4,2019-04-15,4
2501,10,2019-04-15,5
2502,9,2019-04-15,6
2503,7,2019-04-15,7
2504,8,2019-04-15,8
2505,8,2019-04-15,9
2506,6,2019-04-15,10
2507,4,2019-04-15,11
2508,3,2019-04-15,12
2509,6,2019-04-15,13
2510,5,2019-04-15,14
2511,5,2019-04-15,15
2512,6,2019-04-15,16
2513,4,2019-04-15,17
2514,4,2019-04-15,18
2515,3,2019-04-15,19
2516,6,2019-04-15,20
2517,10,2019-04-15,21
2518,7,2019-04-15,22
2519,10,2019-04-15,23
2520,11,2019-04-16,0
2521,7,2019-04-16,1
2522,5,2019-04-16,2
2523,4,2019-04-16,3
2524,5,2019-04-16,4
2525,7,2019-04-16,5
2526,5,2019-04-16,6
2527,5,2019-04-16,7
2528,4,2019-04-16,8
2529,4,2019-04-16,9
2530,3,2019-04-16,10
2531,5,2019-04-16,11
2532,5,2019-04-16,12
2533,8,2019-04-16,13
2534,7,2019-04-16,14
2535,8,2019-04-16,15
2536,3,2019-04-16,16
2537,6,2019-04-16,17
2538,7,2019-04-16,18
2539,6,2019-04-16,19
2540,2,2019-04-16,20
2541,2,2019-04-16,21
2542,2,2019-04-16,22
2543,2,2019-04-16,23
2544,4,2019-04-17,0
2545,3,2019-04-17,1
2546,2,2019-04-17,2
2547,4,2019-04-17,3
2548,7,2019-04-17,4
2549,10,2019-04-17,5
2550,8,2019-04-17,6
2551,8,2019-04-17,7
2552,6,2019-04-17,8
2553,4,2019-04-17,9
2554,4,2019-04-17,10
2555,5,2019-04-17,11
2556,8,2019-04-17,12
2557,9,2019-04-17,13
2558,5,2019-04-17,14
2559,2,2019-04-17,15
2560,3,2019-04-17,16
2561,3,2019-04-17,17
2562,6,2019-04-17,18
2563,6,2019-04-17,19
2564,3,2019-04-17,20
2565,2,2019-04-17,21
2566,2,2019-04-17,22
2567,4,2019-04-17,23
2568,3,2019-04-18,0
2569,3,2019-04-18,1
2570,2,2019-04-18,2
2571,4,2019-04-18,3
2572,4,2019-04-18,4
2573,3,2019-04-18,5
2574,1,2019-04-18,6
2575,1,2019-04-18,7
2576,2,2019-04-18,8
2577,2,2019-04-18,9
2578,1,2019-04-18,10
2579,1,2019-04-18,11
2580,1,2019-04-18,12
2581,0,2019-04-18,13
2582,1,2019-04-18,14
2583,2,2019-04-18,15
2584,2,2019-04-18,16
2585,1,2019-04-18,17
2586,1,2019-04-18,18
2587,1,2019-04-18,19
2588,1,2019-04-18,20
2589,1,2019-04-18,21
2590,1,2019-04-18,22
2591,0,2019-04-18,23
2592,2,2019-04-19,0
2593,4,2019-04-19,1
2594,4,2019-04-19,2
2595,11,2019-04-19,3
2596,10,2019-04-19,4
2597,12,2019-04-19,5
2598,7,2019-04-19,6
2599,4,2019-04-19,7
2600,4,2019-04-19,8
2601,5,2019-04-19,9
2602,3,2019-04-19,10
2603,2,2019-04-19,11
2604,6,2019-04-19,12
2605,5,2019-04-19,13
2606,7,2019-04-19,14
2607,5,2019-04-19,15
2608,8,2019-04-19,16
2609,5,2019-04-19,17
2610,6,2019-04-19,18
2611,4,2019-04-19,19
2612,4,2019-04-19,20
2613,1,2019-04-19,21
2614,1,2019-04-19,22
2615,2,2019-04-19,23
2616,1,2019-04-20,0
2617,1,2019-04-20,1
2618,2,2019-04-20,2
2619,3,2019-04-20,3
2620,7,2019-04-20,4
2621,9,2019-04-20,5
2622,12,2019-04-20,6
2623,12,2019-04-20,7
2624,10,2019-04-20,8
2625,6,2019-04-20,9
2626,3,2019-04-20,10
2627,6,2019-04-20,11
2628,9,2019-04-20,12
2629,11,2019-04-20,13
2630,10,2019-04-20,14
2631,8,2019-04-20,15
2632,7,2019-04-20,16
2633,8,2019-04-20,17
2634,7,2019-04-20,18
2635,4,2019-04-20,19
2636,7,2019-04-20,20
2637,6,2019-04-20,21
2638,8,2019-04-20,22
2639,7,2019-04-20,23
2640,4,2019-04-21,0
2641,7,2019-04-21,1
2642,7,2019-04-21,2
2643,9,2019-04-21,3
2644,9,2019-04-21,4
2645,9,2019-04-21,5
2646,10,2019-04-21,6
2647,7,2019-04-21,7
2648,9,2019-04-21,8
2649,4,2019-04-21,9
2650,4,2019-04-21,10
2651,4,2019-04-21,11
2652,4,2019-04-21,12
2653,4,2019-04-21,13
2654,4,2019-04-21,14
2655,5,2019-04-21,15
2656,5,2019-04-21,16
2657,3,2019-04-21,17
2658,6,2019-04-21,18
2659,6,2019-04-21,19
2660,6,2019-04-21,20
2661,5,2019-04-21,21
2662,4,2019-04-21,22
2663,4,2019-04-21,23
2664,5,2019-04-22,0
2665,4,2019-04-22,1
2666,7,2019-04-22,2
2667,7,2019-04-22,3
2668,5,2019-04-22,4
2669,6,2019-04-22,5
2670,4,2019-04-22,6
2671,4,2019-04-22,7
2672,2,2019-04-22,8
2673,4,2019-04-22,9
2674,7,2019-04-22,10
2675,8,2019-04-22,11
2676,6,2019-04-22,12
2677,5,2019-04-22,13
2678,4,2019-04-22,14
2679,4,2019-04-22,15
2680,6,2019-04-22,16
2681,5,2019-04-22,17
2682,6,2019-04-22,18
2683,7,2019-04-22,19
2684,6,2019-04-22,20
2685,4,2019-04-22,21
2686,4,2019-04-22,22
2687,4,2019-04-22,23
2688,3,2019-04-23,0
2689,1,2019-04-23,1
2690,1,2019-04-23,2
2691,3,2019-04-23,3
2692,5,2019-04-23,4
2693,4,2019-04-23,5
2694,5,2019-04-23,6
2695,4,2019-04-23,7
2696,3,2019-04-23,8
2697,4,2019-04-23,9
2698,5,2019-04-23,10
2699,3,2019-04-23,11
2700,3,2019-04-23,12
2701,3,2019-04-23,13
2702,3,2019-04-23,14
2703,2,2019-04-23,15
2704,2,2019-04-23,16
2705,4,2019-04-23,17
2706,5,2019-04-23,18
2707,6,2019-04-23,19
2708,4,2019-04-23,20
2709,4,2019-04-23,21
2710,4,2019-04-23,22
2711,2,2019-04-23,23
2712,2,2019-04-24,0
2713,4,2019-04-24,1
2714,3,2019-04-24,2
2715,2,2019-04-24,3
2716,1,2019-04-24,4
2717,2,2019-04-24,5
2718,3,2019-04-24,6
2719,5,2019-04-24,7
2720,6,2019-04-24,8
2721,4,2019-04-24,9
2722,5,2019-04-24,10
2723,6,2019-04-24,11
2724,6,2019-04-24,12
2725,4,2019-04-24,13
2726,2,2019-04-24,14
2727,3,2019-04-24,15
2728,6,2019-04-24,16
2729,5,2019-04-24,17
2730,3,2019-04-24,18
2731,3,2019-04-24,19
2732,5,2019-04-24,20
2733,6,2019-04-24,21
2734,4,2019-04-24,22
2735,3,2019-04-24,23
2736,4,2019-04-25,0
2737,5,2019-04-25,1
2738,3,2019-04-25,2
2739,3,2019-04-25,3
2740,2,2019-04-25,4
2741,4,2019-04-25,5
2742,4,2019-04-25,6
2743,8,2019-04-25,7
2744,6,2019-04-25,8
2745,10,2019-04-25,9
2746,10,2019-04-25,10
2747,12,2019-04-25,11
2748,11,2019-04-25,12
2749,6,2019-04-25,13
2750,3,2019-04-25,14
2751,3,2019-04-25,15
2752,6,2019-04-25,16
2753,6,2019-04-25,17
2754,9,2019-04-25,18
2755,10,2019-04-25,19
2756,8,2019-04-25,20
2757,11,2019-04-25,21
2758,8,2019-04-25,22
2759,10,2019-04-25,23
2760,5,2019-04-26,0
2761,6,2019-04-26,1
2762,7,2019-04-26,2
2763,8,2019-04-26,3
2764,6,2019-04-26,4
2765,6,2019-04-26,5
2766,4,2019-04-26,6
2767,8,2019-04-26,7
2768,8,2019-04-26,8
2769,13,2019-04-26,9
2770,9,2019-04-26,10
2771,11,2019-04-26,11
2772,9,2019-04-26,12
2773,6,2019-04-26,13
2774,5,2019-04-26,14
2775,5,2019-04-26,15
2776,5,2019-04-26,16
2777,5,2019-04-26,17
2778,7,2019-04-26,18
2779,5,2019-04-26,19
2780,6,2019-04-26,20
2781,7,2019-04-26,21
2782,5,2019-04-26,22
2783,6,2019-04-26,23
2784,3,2019-04-27,0
2785,2,2019-04-27,1
2786,2,2019-04-27,2
2787,2,2019-04-27,3
2788,4,2019-04-27,4
2789,4,2019-04-27,5
2790,4,2019-04-27,6
2791,5,2019-04-27,7
2792,5,2019-04-27,8
2793,6,2019-04-27,9
2794,4,2019-04-27,10
2795,6,2019-04-27,11
2796,8,2019-04-27,12
2797,11,2019-04-27,13
2798,7,2019-04-27,14
2799,8,2019-04-27,15
2800,10,2019-04-27,16
2801,6,2019-04-27,17
2802,9,2019-04-27,18
2803,9,2019-04-27,19
2804,11,2019-04-27,20
2805,11,2019-04-27,21
2806,9,2019-04-27,22
2807,9,2019-04-27,23
2808,7,2019-04-28,0
2809,7,2019-04-28,1
2810,10,2019-04-28,2
2811,8,2019-04-28,3
2812,6,2019-04-28,4
2813,8,2019-04-28,5
2814,7,2019-04-28,6
2815,9,2019-04-28,7
2816,5,2019-04-28,8
2817,6,2019-04-28,9
2818,5,2019-04-28,10
2819,8,2019-04-28,11
2820,6,2019-04-28,12
2821,6,2019-04-28,13
2822,3,2019-04-28,14
2823,0,2019-04-28,15
2824,1,2019-04-28,16
2825,2,2019-04-28,17
2826,2,2019-04-28,18
2827,2,2019-04-28,19
2828,1,2019-04-28,20
2829,2,2019-04-28,21
2830,1,2019-04-28,22
2831,0,2019-04-28,23
2832,7,2019-04-29,0
2833,6,2019-04-29,1
2834,5,2019-04-29,2
2835,7,2019-04-29,3
2836,8,2019-04-29,4
2837,6,2019-04-29,5
2838,6,2019-04-29,6
2839,8,2019-04-29,7
2840,7,2019-04-29,8
2841,11,2019-04-29,9
2842,10,2019-04-29,10
2843,8,2019-04-29,11
2844,6,2019-04-29,12
2845,8,2019-04-29,13
2846,6,2019-04-29,14
2847,6,2019-04-29,15
2848,4,2019-04-29,16
2849,7,2019-04-29,17
2850,9,2019-04-29,18
2851,10,2019-04-29,19
2852,9,2019-04-29,20
2853,6,2019-04-29,21
2854,6,2019-04-29,22
2855,8,2019-04-29,23
2856,5,2019-04-30,0
2857,5,2019-04-30,1
2858,6,2019-04-30,2
2859,3,2019-04-30,3
2860,4,2019-04-30,4
2861,4,2019-04-30,5
2862,5,2019-04-30,6
2863,5,2019-04-30,7
2864,5,2019-04-30,8
2865,3,2019-04-30,9
2866,4,2019-04-30,10
2867,3,2019-04-30,11
2868,3,2019-04-30,12
2869,3,2019-04-30,13
2870,5,2019-04-30,14
2871,3,2019-04-30,15
2872,5,2019-04-30,16
2873,7,2019-04-30,17
2874,5,2019-04-30,18
2875,6,2019-04-30,19
2876,7,2019-04-30,20
2877,6,2019-04-30,21
2878,4,2019-04-30,22
2879,2,2019-04-30,23
2880,3,2019-05-01,0
2881,7,2019-05-01,1
2882,8,2019-05-01,2
2883,5,2019-05-01,3
2884,9,2019-05-01,4
2885,7,2019-05-01,5
2886,7,2019-05-01,6
2887,10,2019-05-01,7
2888,7,2019-05-01,8
2889,5,2019-05-01,9
2890,8,2019-05-01,10
2891,5,2019-05-01,11
2892,7,2019-05-01,12
2893,4,2019-05-01,13
2894,3,2019-05-01,14
2895,3,2019-05-01,15
2896,4,2019-05-01,16
2897,5,2019-05-01,17
2898,1,2019-05-01,18
2899,1,2019-05-01,19
2900,2,2019-05-01,20
2901,1,2019-05-01,21
2902,1,2019-05-01,22
2903,0,2019-05-01,23
2904,1,2019-05-02,0
2905,3,2019-05-02,1
2906,5,2019-05-02,2
2907,6,2019-05-02,3
2908,4,2019-05-02,4
2909,3,2019-05-02,5
2910,8,2019-05-02,6
2911,6,2019-05-02,7
2912,5,2019-05-02,8
2913,2,2019-05-02,9
2914,3,2019-05-02,10
2915,1,2019-05-02,11
2916,2,2019-05-02,12
2917,4,2019-05-02,13
2918,3,2019-05-02,14
2919,6,2019-05-02,15
2920,4,2019-05-02,16
2921,6,2019-05-02,17
2922,7,2019-05-02,18
2923,7,2019-05-02,19
2924,10,2019-05-02,20
2925,11,2019-05-02,21
2926,11,2019-05-02,22
2927,7,2019-05-02,23
2928,6,2019-05-03,0
2929,7,2019-05-03,1
2930,11,2019-05-03,2
2931,9,2019-05-03,3
2932,7,2019-05-03,4
2933,8,2019-05-03,5
2934,6,2019-05-03,6
2935,6,2019-05-03,7
2936,7,2019-05-03,8
2937,9,2019-05-03,9
2938,7,2019-05-03,10
2939,10,2019-05-03,11
2940,9,2019-05-03,12
2941,6,2019-05-03,13
2942,8,2019-05-03,14
2943,5,2019-05-03,15
2944,4,2019-05-03,16
2945,2,2019-05-03,17
2946,3,2019-05-03,18
2947,4,2019-05-03,19
2948,9,2019-05-03,20
2949,10,2019-05-03,21
2950,8,2019-05-03,22
2951,8,2019-05-03,23
2952,3,2019-05-04,0
2953,7,2019-05-04,1
2954,7,2019-05-04,2
2955,7,2019-05-04,3
2956,7,2019-05-04,4
2957,6,2019-05-04,5
2958,6,2019-05-04,6
2959,8,2019-05-04,7
2960,9,2019-05-04,8
2961,10,2019-05-04,9
2962,7,2019-05-04,10
2963,6,2019-05-04,11
2964,5,2019-05-04,12
2965,4,2019-05-04,13
2966,8,2019-05-04,14
2967,8,2019-05-04,15
2968,9,2019-05-04,16
2969,8,2019-05-04,17
2970,11,2019-05-04,18
2971,11,2019-05-04,19
2972,9,2019-05-04,20
2973,9,2019-05-04,21
2974,6,2019-05-04,22
2975,8,2019-05-04,23
2976,5,2019-05-05,0
2977,6,2019-05-05,1
2978,5,2019-05-05,2
2979,4,2019-05-05,3
2980,5,2019-05-05,4
2981,5,2019-05-05,5
2982,7,2019-05-05,6
2983,6,2019-05-05,7
2984,9,2019-05-05,8
2985,7,2019-05-05,9
2986,6,2019-05-05,10
2987,5,2019-05-05,11
2988,4,2019-05-05,12
2989,5,2019-05-05,13
2990,4,2019-05-05,14
2991,2,2019-05-05,15
2992,4,2019-05-05,16
2993,5,2019-05-05,17
2994,8,2019-05-05,18
2995,9,2019-05-05,19
2996,9,2019-05-05,20
2997,8,2019-05-05,21
2998,6,2019-05-05,22
2999,6,2019-05-05,23
3000,4,2019-05-06,0
3001,9,2019-05-06,1
3002,7,2019-05-06,2
3003,7,2019-05-06,3
3004,4,2019-05-06,4
3005,8,2019-05-06,5
3006,7,2019-05-06,6
3007,10,2019-05-06,7
3008,9,2019-05-06,8
3009,7,2019-05-06,9
3010,13,2019-05-06,10
3011,10,2019-05-06,11
3012,11,2019-05-06,12
3013,11,2019-05-06,13
3014,13,2019-05-06,14
3015,8,2019-05-06,15
3016,6,2019-05-06,16
3017,9,2019-05-06,17
3018,8,2019-05-06,18
3019,7,2019-05-06,19
3020,9,2019-05-06,20
3021,10,2019-05-06,21
3022,12,2019-05-06,22
3023,8,2019-05-06,23
3024,9,2019-05-07,0
3025,9,2019-05-07,1
3026,6,2019-05-07,2
3027,6,2019-05-07,3
3028,7,2019-05-07,4
3029,5,2019-05-07,5
3030,10,2019-05-07,6
3031,9,2019-05-07,7
3032,8,2019-05-07,8
3033,7,2019-05-07,9
3034,8,2019-05-07,10
3035,7,2019-05-07,11
3036,7,2019-05-07,12
3037,6,2019-05-07,13
3038,7,2019-05-07,14
3039,6,2019-05-07,15
3040,5,2019-05-07,16
3041,6,2019-05-07,17
3042,9,2019-05-07,18
3043,6,2019-05-07,19
3044,7,2019-05-07,20
3045,4,2019-05-07,21
3046,4,2019-05-07,22
3047,5,2019-05-07,23
3048,4,2019-05-08,0
3049,4,2019-05-08,1
3050,5,2019-05-08,2
3051,8,2019-05-08,3
3052,4,2019-05-08,4
3053,6,2019-05-08,5
3054,4,2019-05-08,6
3055,5,2019-05-08,7
3056,5,2019-05-08,8
3057,6,2019-05-08,9
3058,5,2019-05-08,10
3059,4,2019-05-08,11
3060,2,2019-05-08,12
3061,3,2019-05-08,13
3062,4,2019-05-08,14
3063,3,2019-05-08,15
3064,4,2019-05-08,16
3065,1,2019-05-08,17
3066,0,2019-05-08,18
3067,0,2019-05-08,19
3068,0,2019-05-08,20
3069,0,2019-05-08,21
3070,0,2019-05-08,22
3071,0,2019-05-08,23
3072,6,2019-05-09,0
3073,5,2019-05-09,1
3074,4,2019-05-09,2
3075,5,2019-05-09,3
3076,10,2019-05-09,4
3077,11,2019-05-09,5
3078,9,2019-05-09,6
3079,11,2019-05-09,7
3080,11,2019-05-09,8
3081,11,2019-05-09,9
3082,9,2019-05-09,10
3083,9,2019-05-09,11
3084,10,2019-05-09,12
3085,11,2019-05-09,13
3086,7,2019-05-09,14
3087,7,2019-05-09,15
3088,7,2019-05-09,16
3089,6,2019-05-09,17
3090,6,2019-05-09,18
3091,7,2019-05-09,19
3092,8,2019-05-09,20
3093,8,2019-05-09,21
3094,5,2019-05-09,22
3095,4,2019-05-09,23
3096,1,2019-05-10,0
3097,2,2019-05-10,1
3098,3,2019-05-10,2
3099,5,2019-05-10,3
3100,6,2019-05-10,4
3101,7,2019-05-10,5
3102,7,2019-05-10,6
3103,10,2019-05-10,7
3104,6,2019-05-10,8
3105,7,2019-05-10,9
3106,9,2019-05-10,10
3107,9,2019-05-10,11
3108,9,2019-05-10,12
3109,9,2019-05-10,13
3110,12,2019-05-10,14
3111,14,2019-05-10,15
3112,13,2019-05-10,16
3113,13,2019-05-10,17
3114,9,2019-05-10,18
3115,7,2019-05-10,19
3116,5,2019-05-10,20
3117,7,2019-05-10,21
3118,7,2019-05-10,22
3119,10,2019-05-10,23
3120,10,2019-05-11,0
3121,7,2019-05-11,1
3122,10,2019-05-11,2
3123,9,2019-05-11,3
3124,9,2019-05-11,4
3125,11,2019-05-11,5
3126,6,2019-05-11,6
3127,10,2019-05-11,7
3128,13,2019-05-11,8
3129,15,2019-05-11,9
3130,14,2019-05-11,10
3131,12,2019-05-11,11
3132,13,2019-05-11,12
3133,13,2019-05-11,13
3134,10,2019-05-11,14
3135,10,2019-05-11,15
3136,11,2019-05-11,16
3137,7,2019-05-11,17
3138,10,2019-05-11,18
3139,4,2019-05-11,19
3140,6,2019-05-11,20
3141,6,2019-05-11,21
3142,10,2019-05-11,22
3143,6,2019-05-11,23
3144,5,2019-05-12,0
3145,4,2019-05-12,1
3146,6,2019-05-12,2
3147,6,2019-05-12,3
3148,4,2019-05-12,4
3149,4,2019-05-12,5
3150,6,2019-05-12,6
3151,6,2019-05-12,7
3152,5,2019-05-12,8
3153,4,2019-05-12,9
3154,5,2019-05-12,10
3155,7,2019-05-12,11
3156,7,2019-05-12,12
3157,11,2019-05-12,13
3158,8,2019-05-12,14
3159,8,2019-05-12,15
3160,8,2019-05-12,16
3161,11,2019-05-12,17
3162,13,2019-05-12,18
3163,11,2019-05-12,19
3164,12,2019-05-12,20
3165,10,2019-05-12,21
3166,9,2019-05-12,22
3167,10,2019-05-12,23
3168,7,2019-05-13,0
3169,7,2019-05-13,1
3170,4,2019-05-13,2
3171,6,2019-05-13,3
3172,5,2019-05-13,4
3173,5,2019-05-13,5
3174,5,2019-05-13,6
3175,4,2019-05-13,7
3176,9,2019-05-13,8
3177,10,2019-05-13,9
3178,11,2019-05-13,10
3179,8,2019-05-13,11
3180,6,2019-05-13,12
3181,4,2019-05-13,13
3182,6,2019-05-13,14
3183,2,2019-05-13,15
3184,2,2019-05-13,16
3185,3,2019-05-13,17
3186,4,2019-05-13,18
3187,7,2019-05-13,19
3188,7,2019-05-13,20
3189,6,2019-05-13,21
3190,8,2019-05-13,22
3191,4,2019-05-13,23
3192,9,2019-05-14,0
3193,9,2019-05-14,1
3194,13,2019-05-14,2
3195,10,2019-05-14,3
3196,10,2019-05-14,4
3197,13,2019-05-14,5
3198,13,2019-05-14,6
3199,9,2019-05-14,7
3200,7,2019-05-14,8
3201,10,2019-05-14,9
3202,8,2019-05-14,10
3203,5,2019-05-14,11
3204,8,2019-05-14,12
3205,8,2019-05-14,13
3206,10,2019-05-14,14
3207,9,2019-05-14,15
3208,6,2019-05-14,16
3209,6,2019-05-14,17
3210,7,2019-05-14,18
3211,9,2019-05-14,19
3212,9,2019-05-14,20
3213,7,2019-05-14,21
3214,5,2019-05-14,22
3215,4,2019-05-14,23
3216,4,2019-05-15,0
3217,5,2019-05-15,1
3218,5,2019-05-15,2
3219,8,2019-05-15,3
3220,8,2019-05-15,4
3221,5,2019-05-15,5
3222,5,2019-05-15,6
3223,7,2019-05-15,7
3224,6,2019-05-15,8
3225,5,2019-05-15,9
